date,timeofday,condition,rep,SoilTemp,SoilMoisture
2021-07-13,17:26,DARK,FD6,NA,555.91
2021-07-13,17:26,DARK,RD6,NA,572.95
2021-07-13,17:26,DARK,MD1,33.56,478.62
2021-07-13,17:26,DARK,RD3,34.0,644.56
2021-07-13,17:26,DARK,RD10,NA,597.03
2021-07-13,17:26,DARK,MD6,34.5,431.5
2021-07-13,17:26,DARK,MD5,NA,553.03
2021-07-13,17:26,DARK,FD1,NA,412.23
2021-07-13,17:26,HighLight,RH2,33.94,32.67
2021-07-13,17:26,HighLight,RH5,NA,153.17
2021-07-13,17:26,HighLight,FH5,34.0,4.51
2021-07-13,17:26,HighLight,FH2,33.31,1.02
2021-07-13,17:26,HighLight,FH4,NA,5.6
2021-07-13,17:26,HighLight,MH1,33.25,197.92
2021-07-13,17:26,HighLight,RH10,33.5,0.05
2021-07-13,17:26,HighLight,MH5,33.0,130.14
2021-07-13,17:26,HighLight,MH6,NA,73.69
2021-07-13,17:27,DARK,FD2,33.44,635.48
2021-07-13,17:27,DARK,FD6,NA,556.84
2021-07-13,17:27,DARK,RD6,NA,574.66
2021-07-13,17:27,DARK,MD1,33.56,478.89
2021-07-13,17:27,DARK,RD3,34.0,645.25
2021-07-13,17:27,DARK,RD10,NA,597.55
2021-07-13,17:27,DARK,MD6,34.5,431.47
2021-07-13,17:27,DARK,MD5,NA,553.87
2021-07-13,17:27,DARK,FD1,NA,413.13
2021-07-13,17:27,HighLight,RH2,33.94,32.31
2021-07-13,17:27,HighLight,RH5,NA,145.5
2021-07-13,17:27,HighLight,FH5,34.0,4.24
2021-07-13,17:27,HighLight,FH2,33.38,1.13
2021-07-13,17:27,HighLight,FH4,NA,5.59
2021-07-13,17:27,HighLight,MH1,33.25,190.61
2021-07-13,17:27,HighLight,RH10,33.5,0.36
2021-07-13,17:27,HighLight,MH5,33.0,124.89
2021-07-13,17:27,HighLight,MH6,NA,70.84
2021-07-13,17:28,DARK,FD2,33.44,635.51
2021-07-13,17:28,DARK,FD6,NA,556.78
2021-07-13,17:28,DARK,RD6,NA,573.47
2021-07-13,17:28,DARK,MD1,33.56,479.71
2021-07-13,17:28,DARK,RD3,33.5,645.45
2021-07-13,17:28,DARK,RD10,NA,597.8
2021-07-13,17:28,DARK,MD6,34.5,431.96
2021-07-13,17:28,DARK,MD5,NA,553.89
2021-07-13,17:28,DARK,FD1,NA,413.15
2021-07-13,17:28,HighLight,RH2,33.94,31.98
2021-07-13,17:28,HighLight,RH5,NA,145.26
2021-07-13,17:28,HighLight,FH5,34.0,4.34
2021-07-13,17:28,HighLight,FH2,33.38,0.8
2021-07-13,17:28,HighLight,FH4,NA,5.76
2021-07-13,17:28,HighLight,MH1,33.25,188.82
2021-07-13,17:28,HighLight,RH10,33.0,0.25
2021-07-13,17:28,HighLight,MH5,33.0,124.52
2021-07-13,17:28,HighLight,MH6,NA,69.89
2021-07-13,17:29,DARK,FD2,33.38,636.4
2021-07-13,17:29,DARK,FD6,NA,557.0
2021-07-13,17:29,DARK,RD6,NA,574.94
2021-07-13,17:29,DARK,MD1,33.56,479.51
2021-07-13,17:29,DARK,RD3,33.5,644.6
2021-07-13,17:29,DARK,RD10,NA,597.66
2021-07-13,17:29,DARK,MD6,34.5,430.93
2021-07-13,17:29,DARK,MD5,NA,552.16
2021-07-13,17:29,DARK,FD1,NA,412.92
2021-07-13,17:29,HighLight,RH2,33.94,32.46
2021-07-13,17:29,HighLight,RH5,NA,146.12
2021-07-13,17:29,HighLight,FH5,34.0,4.37
2021-07-13,17:29,HighLight,FH2,33.38,0.76
2021-07-13,17:29,HighLight,FH4,NA,5.7
2021-07-13,17:29,HighLight,MH1,33.25,190.72
2021-07-13,17:29,HighLight,RH10,33.5,0.23
2021-07-13,17:29,HighLight,MH5,33.0,125.93
2021-07-13,17:29,HighLight,MH6,NA,70.31
2021-07-13,17:30,DARK,FD2,33.38,635.28
2021-07-13,17:30,DARK,FD6,NA,556.01
2021-07-13,17:30,DARK,RD6,NA,574.48
2021-07-13,17:30,DARK,MD1,33.56,478.36
2021-07-13,17:30,DARK,RD3,34.0,642.82
2021-07-13,17:30,DARK,RD10,NA,596.51
2021-07-13,17:30,DARK,MD6,34.0,430.32
2021-07-13,17:30,DARK,MD5,NA,551.19
2021-07-13,17:30,DARK,FD1,NA,412.28
2021-07-13,17:30,HighLight,RH2,33.94,32.25
2021-07-13,17:30,HighLight,RH5,NA,145.74
2021-07-13,17:30,HighLight,FH5,34.0,4.15
2021-07-13,17:30,HighLight,FH2,33.31,1.18
2021-07-13,17:30,HighLight,FH4,NA,5.09
2021-07-13,17:30,HighLight,MH1,33.19,190.99
2021-07-13,17:30,HighLight,RH10,33.0,0.26
2021-07-13,17:30,HighLight,MH5,33.0,125.11
2021-07-13,17:30,HighLight,MH6,NA,70.67
2021-07-13,17:31,DARK,FD2,33.38,635.88
2021-07-13,17:31,DARK,FD6,NA,556.73
2021-07-13,17:31,DARK,RD6,NA,573.34
2021-07-13,17:31,DARK,MD1,33.56,478.71
2021-07-13,17:31,DARK,RD3,33.5,645.39
2021-07-13,17:31,DARK,RD10,NA,597.52
2021-07-13,17:31,DARK,MD6,34.0,431.65
2021-07-13,17:31,DARK,MD5,NA,553.44
2021-07-13,17:31,DARK,FD1,NA,413.54
2021-07-13,17:31,HighLight,RH2,34.0,31.29
2021-07-13,17:31,HighLight,RH5,NA,144.42
2021-07-13,17:31,HighLight,FH5,34.0,4.15
2021-07-13,17:31,HighLight,FH2,33.44,1.21
2021-07-13,17:31,HighLight,FH4,NA,4.89
2021-07-13,17:31,HighLight,MH1,33.25,187.94
2021-07-13,17:31,HighLight,RH10,33.5,0.13
2021-07-13,17:31,HighLight,MH5,33.0,123.97
2021-07-13,17:31,HighLight,MH6,NA,70.2
2021-07-13,17:32,DARK,FD2,33.38,633.68
2021-07-13,17:32,DARK,FD6,NA,554.94
2021-07-13,17:32,DARK,RD6,NA,572.46
2021-07-13,17:32,DARK,MD1,33.56,477.15
2021-07-13,17:32,DARK,RD3,33.5,642.85
2021-07-13,17:32,DARK,RD10,NA,596.05
2021-07-13,17:32,DARK,MD6,34.0,430.03
2021-07-13,17:32,DARK,MD5,NA,551.8
2021-07-13,17:32,DARK,FD1,NA,412.3
2021-07-13,17:32,HighLight,RH2,33.94,31.81
2021-07-13,17:32,HighLight,RH5,NA,146.34
2021-07-13,17:32,HighLight,FH5,34.0,4.31
2021-07-13,17:32,HighLight,FH2,33.31,1.18
2021-07-13,17:32,HighLight,FH4,NA,5.64
2021-07-13,17:32,HighLight,MH1,33.19,190.59
2021-07-13,17:32,HighLight,RH10,33.0,0.04
2021-07-13,17:32,HighLight,MH5,33.0,125.54
2021-07-13,17:32,HighLight,MH6,NA,69.91
2021-07-13,17:33,DARK,FD2,33.38,634.16
2021-07-13,17:33,DARK,FD6,NA,556.69
2021-07-13,17:33,DARK,RD6,NA,574.57
2021-07-13,17:33,DARK,MD1,33.5,477.59
2021-07-13,17:33,DARK,RD3,33.5,643.43
2021-07-13,17:33,DARK,RD10,NA,597.5
2021-07-13,17:33,DARK,MD6,34.0,430.47
2021-07-13,17:33,DARK,MD5,NA,552.88
2021-07-13,17:33,DARK,FD1,NA,413.32
2021-07-13,17:33,HighLight,RH2,33.88,31.63
2021-07-13,17:33,HighLight,RH5,NA,152.31
2021-07-13,17:33,HighLight,FH5,34.0,4.16
2021-07-13,17:33,HighLight,FH2,33.31,1.2
2021-07-13,17:33,HighLight,FH4,NA,5.23
2021-07-13,17:33,HighLight,MH1,33.19,190.5
2021-07-13,17:33,HighLight,RH10,33.5,0.25
2021-07-13,17:33,HighLight,MH5,33.0,125.1
2021-07-13,17:33,HighLight,MH6,NA,72.99
2021-07-13,17:34,DARK,FD2,33.38,635.89
2021-07-13,17:34,DARK,FD6,NA,556.84
2021-07-13,17:34,DARK,RD6,NA,575.4
2021-07-13,17:34,DARK,MD1,33.56,479.43
2021-07-13,17:34,DARK,RD3,33.5,644.69
2021-07-13,17:34,DARK,RD10,NA,597.35
2021-07-13,17:34,DARK,MD6,34.0,430.84
2021-07-13,17:34,DARK,MD5,NA,552.49
2021-07-13,17:34,DARK,FD1,NA,412.82
2021-07-13,17:34,HighLight,RH2,33.88,33.24
2021-07-13,17:34,HighLight,RH5,NA,151.72
2021-07-13,17:34,HighLight,FH5,34.0,4.42
2021-07-13,17:34,HighLight,FH2,33.31,0.68
2021-07-13,17:34,HighLight,FH4,NA,5.22
2021-07-13,17:34,HighLight,MH1,33.19,197.51
2021-07-13,17:34,HighLight,RH10,33.0,0.24
2021-07-13,17:34,HighLight,MH5,33.0,129.27
2021-07-13,17:34,HighLight,MH6,NA,73.07
2021-07-13,17:35,DARK,FD2,33.38,635.67
2021-07-13,17:35,DARK,FD6,NA,556.78
2021-07-13,17:35,DARK,RD6,NA,573.71
2021-07-13,17:35,DARK,MD1,33.5,478.68
2021-07-13,17:35,DARK,RD3,33.5,645.91
2021-07-13,17:35,DARK,RD10,NA,597.15
2021-07-13,17:35,DARK,MD6,34.0,430.56
2021-07-13,17:35,DARK,MD5,NA,553.35
2021-07-13,17:35,DARK,FD1,NA,412.34
2021-07-13,17:35,HighLight,RH2,33.88,31.84
2021-07-13,17:35,HighLight,RH5,NA,152.07
2021-07-13,17:35,HighLight,FH5,34.0,4.72
2021-07-13,17:35,HighLight,FH2,33.31,0.92
2021-07-13,17:35,HighLight,FH4,NA,5.27
2021-07-13,17:35,HighLight,MH1,33.12,197.65
2021-07-13,17:35,HighLight,RH10,33.0,0.03
2021-07-13,17:35,HighLight,MH5,33.0,129.3
2021-07-13,17:35,HighLight,MH6,NA,72.63
2021-07-13,17:36,DARK,FD2,33.38,635.54
2021-07-13,17:36,DARK,FD6,NA,556.29
2021-07-13,17:36,DARK,RD6,NA,573.46
2021-07-13,17:36,DARK,MD1,33.5,478.75
2021-07-13,17:36,DARK,RD3,33.5,645.15
2021-07-13,17:36,DARK,RD10,NA,597.2
2021-07-13,17:36,DARK,MD6,34.0,430.54
2021-07-13,17:36,DARK,MD5,NA,552.93
2021-07-13,17:36,DARK,FD1,NA,412.29
2021-07-13,17:36,HighLight,RH2,33.88,31.22
2021-07-13,17:36,HighLight,RH5,NA,143.82
2021-07-13,17:36,HighLight,FH5,34.0,4.14
2021-07-13,17:36,HighLight,FH2,33.38,0.86
2021-07-13,17:36,HighLight,FH4,NA,5.74
2021-07-13,17:36,HighLight,MH1,33.19,187.69
2021-07-13,17:36,HighLight,RH10,33.0,0.14
2021-07-13,17:36,HighLight,MH5,33.0,123.55
2021-07-13,17:36,HighLight,MH6,NA,68.67
2021-07-13,17:37,DARK,FD2,33.38,635.02
2021-07-13,17:37,DARK,FD6,NA,554.77
2021-07-13,17:37,DARK,RD6,NA,574.32
2021-07-13,17:37,DARK,MD1,33.5,477.41
2021-07-13,17:37,DARK,RD3,33.5,642.58
2021-07-13,17:37,DARK,RD10,NA,594.81
2021-07-13,17:37,DARK,MD6,34.0,428.88
2021-07-13,17:37,DARK,MD5,NA,549.6
2021-07-13,17:37,DARK,FD1,NA,411.98
2021-07-13,17:37,HighLight,RH2,33.88,30.77
2021-07-13,17:37,HighLight,RH5,NA,143.69
2021-07-13,17:37,HighLight,FH5,33.5,4.13
2021-07-13,17:37,HighLight,FH2,33.31,1.18
2021-07-13,17:37,HighLight,FH4,NA,4.74
2021-07-13,17:37,HighLight,MH1,33.19,188.12
2021-07-13,17:37,HighLight,RH10,33.0,0.21
2021-07-13,17:37,HighLight,MH5,33.0,123.54
2021-07-13,17:37,HighLight,MH6,NA,69.16
2021-07-13,17:38,DARK,FD2,33.38,635.35
2021-07-13,17:38,DARK,FD6,NA,555.41
2021-07-13,17:38,DARK,RD6,NA,574.44
2021-07-13,17:38,DARK,MD1,33.5,477.58
2021-07-13,17:38,DARK,RD3,33.5,644.46
2021-07-13,17:38,DARK,RD10,NA,596.29
2021-07-13,17:38,DARK,MD6,34.0,429.54
2021-07-13,17:38,DARK,MD5,NA,551.46
2021-07-13,17:38,DARK,FD1,NA,411.65
2021-07-13,17:38,HighLight,RH2,33.88,32.27
2021-07-13,17:38,HighLight,RH5,NA,151.66
2021-07-13,17:38,HighLight,FH5,33.5,4.36
2021-07-13,17:38,HighLight,FH2,33.31,0.92
2021-07-13,17:38,HighLight,FH4,NA,5.39
2021-07-13,17:38,HighLight,MH1,33.19,195.88
2021-07-13,17:38,HighLight,RH10,33.0,0.05
2021-07-13,17:38,HighLight,MH5,33.0,129.17
2021-07-13,17:38,HighLight,MH6,NA,72.04
2021-07-13,17:39,DARK,FD2,33.31,633.44
2021-07-13,17:39,DARK,FD6,NA,554.18
2021-07-13,17:39,DARK,RD6,NA,573.13
2021-07-13,17:39,DARK,MD1,33.5,476.36
2021-07-13,17:39,DARK,RD3,33.5,642.52
2021-07-13,17:39,DARK,RD10,NA,595.04
2021-07-13,17:39,DARK,MD6,34.0,428.38
2021-07-13,17:39,DARK,MD5,NA,550.12
2021-07-13,17:39,DARK,FD1,NA,410.67
2021-07-13,17:39,HighLight,RH2,33.81,32.74
2021-07-13,17:39,HighLight,RH5,NA,150.64
2021-07-13,17:39,HighLight,FH5,33.5,4.08
2021-07-13,17:39,HighLight,FH2,33.25,0.56
2021-07-13,17:39,HighLight,FH4,NA,5.37
2021-07-13,17:39,HighLight,MH1,33.12,195.94
2021-07-13,17:39,HighLight,RH10,33.0,0.21
2021-07-13,17:39,HighLight,MH5,33.0,128.31
2021-07-13,17:39,HighLight,MH6,NA,71.92
2021-07-13,17:40,DARK,FD2,33.31,635.63
2021-07-13,17:40,DARK,FD6,NA,555.73
2021-07-13,17:40,DARK,RD6,NA,575.25
2021-07-13,17:40,DARK,MD1,33.5,477.01
2021-07-13,17:40,DARK,RD3,33.5,644.23
2021-07-13,17:40,DARK,RD10,NA,596.5
2021-07-13,17:40,DARK,MD6,34.0,429.44
2021-07-13,17:40,DARK,MD5,NA,551.15
